,ProductLabel,ProductionSite,ProductName,Reference,ProductCategoryCode,MainMaterialType,CommercialRegion,ProductionPeriod,ProductCategory,EngineSize,RevisionCycleIndex,CycleStartDate,ProductionPlanningDate,PlanConfirmationDate,ScheduledManufacturingDate,ScheduledManufacturingDate2,DesignValidationDate,OK,MO,QA,CM,CE,SA,MR,TR,StartPreparation,EndPreparation,StartConfection,EndConfection,StartFinishing,EndFinishing,StartAssembly,EndAssembly,StartRepair,EndRepair,StartVerification,EndVerification,StartShippingPreparation,EndShippingPreparation,FactoryExitDate,OperationDescription,WeeklyReleaseDate,LeadTimeBeforeProduction,DesignValidationLeadTime,AssemblyTime,ShippingPreparationTime,FinalizationTime,DLT,groupe_duree_cycle,commentaire
0,591113658,Nantes_Factory,Produit AA,1140325,,Matériau 1,France,Saison Ete,PRIMACY 4,DimMot17,IndRevP,2023-09-04,2023-09-03 02:00:00,2023-09-04 00:00:00,2023-09-03 02:00:00,2023-09-04 00:00:00,2023-09-07,,,,,,,,,2023-09-04 03:01:35,2023-09-04 03:29:53,2023-09-03 21:54:35,2023-09-03 21:57:18,2023-09-04 08:08:06,2023-09-04 08:08:55,2023-09-05 01:51:54,2023-09-05 02:03:54,,,,,2023-09-05 08:47:12,2023-09-05 08:54:18,2023-09-10,[],2023-09-14,-1,4,3,0,7,23,DurCyc5_10,
1,1090556635,Nantes_Factory,Produit AA,534378,,Matériau 1,France,Saison Ete,PRIMACY 4,DimMot17,IndRevP,2023-09-17,2023-09-17 02:00:00,2023-09-17 02:00:00,2023-09-17 02:00:00,2023-09-17 02:00:00,2023-09-21,2023-10-05 00:00:00,,,,,,,,2023-09-14 07:36:08,2023-09-14 08:24:25,2023-09-16 22:31:03,2023-09-16 22:33:46,2023-09-17 22:01:15,2023-09-17 22:02:00,2023-09-20 09:13:29,2023-09-20 09:25:29,,,2023-09-22 08:49:28,2023-09-22 12:01:39,2023-09-22 13:01:08,2023-09-22 13:08:13,2023-09-28,"[[TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default], [TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default], [TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default], [TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default]]",2023-09-28,-1,5,7,0,8,23,DurCyc10_15,OK
2,534860478,Nantes_Factory,Produit AA,509421,,Matériau 2,Germany,Saison Ete,PRIMACY 4,DimMot17,IndRevP,2023-08-29,2023-08-27 02:00:00,2023-08-29 00:00:00,2023-08-27 02:00:00,2023-08-29 00:00:00,2023-08-31,,,,,,,,,2023-09-04 02:13:57,2023-09-04 03:35:40,2023-09-04 01:33:47,2023-09-04 01:36:15,2023-09-04 10:02:51,2023-09-04 10:03:42,2023-09-05 01:23:10,2023-09-05 01:34:01,,,,,2023-09-05 06:55:32,2023-09-05 07:02:31,2023-09-06,[],2023-09-07,-1,4,2,-1,6,19,DurCyc5_10,
3,1172424389,Nantes_Factory,Produit AB,774373,,Matériau 3,Germany,Saison Ete,ENERGY SAVER+,DimMot16,IndRevC,2023-09-19,2023-09-17 02:00:00,2023-09-19 00:00:00,2023-09-22 02:00:00,2023-09-22 02:00:00,2023-09-21,,,,,,,,,2023-09-21 19:20:48,2023-09-21 21:59:10,2023-09-22 04:28:39,2023-09-22 04:28:53,2023-09-22 05:21:03,2023-09-22 05:22:32,2023-09-22 22:33:53,2023-09-22 22:43:44,,,2023-09-22 23:33:11,2023-09-23 01:53:21,2023-09-23 02:49:51,2023-09-23 02:57:35,2023-09-25,"[[TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default], [TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default], [TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default], [TO VERIFY LOW SPEED UNIFORMITY-Default, TO VERIFY TIRE ASPECT-Default]]",2023-09-28,-1,4,5,0,3,18,DurCyc5_10,
4,1101136818,Nantes_Factory,Produit AC,828124,,Matériau 3,France,Saison Ete,PRIMACY 4,DimMot15,IndRevC,2023-08-28,2023-08-27 02:00:00,2023-08-28 00:00:00,2023-08-27 02:00:00,2023-08-28 00:00:00,2023-08-31,,,,,,,,,2023-09-20 02:54:34,2023-09-20 03:33:22,2023-09-20 18:35:48,2023-09-20 18:35:57,2023-09-21 04:14:22,2023-09-21 04:15:15,2023-09-21 20:18:06,2023-09-21 20:27:57,,,2023-09-21 21:26:57,2023-09-21 21:26:57,2023-09-21 22:10:40,2023-09-21 22:18:29,2023-09-24,"[[TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default]]",2023-09-28,-1,6,5,-1,8,34,DurCyc25_30,
5,894445040,Nantes_Factory,Produit AC,1240217,,Matériau 3,France,Saison Ete,PRIMACY 4,DimMot15,IndRevC,2023-09-24,2023-09-24 02:00:00,2023-09-24 02:00:00,2023-09-24 02:00:00,2023-09-24 02:00:00,2023-09-28,,,,,,2023-10-05 00:00:00,,,2023-09-22 20:20:44,2023-09-22 20:52:07,2023-09-24 00:16:36,2023-09-24 00:17:04,2023-09-24 02:22:39,2023-09-24 02:23:42,2023-09-24 06:25:44,2023-09-24 06:35:35,,,2023-09-24 07:35:43,2023-09-24 07:35:43,2023-09-24 08:05:14,2023-09-24 08:13:11,2023-09-25,"[[TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default]]",2023-09-28,-1,6,2,0,3,20,DurCyc0_5,SA
6,1358849944,Nantes_Factory,Produit AD,1084543,,Matériau 4,France,Saison Ete,PRIMACY 4+,DimMot18,IndRevC,2023-09-11,2023-09-10 02:00:00,2023-09-11 00:00:00,2023-09-10 02:00:00,2023-09-11 00:00:00,2023-09-14,2023-09-13 00:00:00,,,,,,,,2023-09-08 17:00:47,2023-09-08 17:10:38,2023-09-10 17:56:26,2023-09-10 17:59:02,2023-09-10 19:12:28,2023-09-10 19:14:17,2023-09-11 00:28:40,2023-09-11 00:39:10,,,2023-09-11 01:19:28,2023-09-11 01:29:25,2023-09-11 06:09:52,2023-09-11 06:16:04,2023-09-13,"[[TO VERIFY TIRE ASPECT-Default, TO VERIFY LOW SPEED UNIFORMITY-Default]]",2023-09-14,-1,4,7,0,8,20,DurCyc0_5,OK
7,1124888238,Nantes_Factory,Produit AD,843830,,Matériau 4,France,Saison Ete,PRIMACY 4+,DimMot18,IndRevC,2023-08-28,2023-08-27 02:00:00,2023-08-28 00:00:00,2023-09-06 02:00:00,2023-09-06 02:00:00,2023-08-31,,,,,,,,,2023-09-11 20:03:11,2023-09-11 23:10:09,2023-09-12 21:13:51,2023-09-12 21:16:27,2023-09-13 04:29:01,2023-09-13 04:30:02,2023-09-13 17:54:56,2023-09-13 18:05:26,,,2023-09-13 18:35:51,2023-09-13 18:35:51,2023-09-13 20:48:53,2023-09-13 20:54:12,2023-10-08,"[[TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default]]",2023-10-12,-1,3,5,-1,29,54,DurCyc40_45,
8,1183321229,Nantes_Factory,Produit AE,1272183,,Matériau 5,Germany,Saison Ete,PILOT SPORT 4,DimMot18,IndRevP,2023-09-19,2023-09-17 02:00:00,2023-09-19 00:00:00,2023-09-17 02:00:00,2023-09-19 00:00:00,2023-09-21,2023-10-05 00:00:00,,,,,,,,2023-09-16 08:51:26,2023-09-18 03:40:49,2023-09-18 13:14:30,2023-09-18 13:16:58,2023-09-18 15:31:12,2023-09-18 15:32:10,2023-09-19 02:45:16,2023-09-19 02:56:37,,,2023-09-19 03:48:46,2023-09-19 05:22:20,2023-09-19 05:37:17,2023-09-19 05:44:40,2023-09-20,"[[TO VERIFY TIRE ASPECT-Default, TO VERIFY LOW SPEED UNIFORMITY-Default], [TO VERIFY TIRE ASPECT-Default, TO VERIFY LOW SPEED UNIFORMITY-Default], [TO VERIFY TIRE ASPECT-Default, TO VERIFY LOW SPEED UNIFORMITY-Default], [TO VERIFY TIRE ASPECT-Default, TO VERIFY LOW SPEED UNIFORMITY-Default]]",2023-09-21,-1,4,6,-1,2,12,DurCyc0_5,OK
9,1220252156,Nantes_Factory,Produit AF,694178,,Matériau 6,France,Saison Hiver,ALPIN 6,DimMot17,IndRevC,2023-09-17,2023-09-17 02:00:00,2023-09-17 02:00:00,2023-09-17 02:00:00,2023-09-17 02:00:00,2023-09-21,,,,,,,,,2023-09-14 16:09:44,2023-09-15 15:03:04,2023-09-16 11:33:06,2023-09-16 11:35:34,2023-09-16 15:11:00,2023-09-16 15:12:21,2023-09-17 00:22:58,2023-09-17 00:32:49,,,2023-09-17 01:24:22,2023-09-17 01:24:22,2023-09-17 03:56:23,2023-09-17 04:02:17,2023-09-17,"[[TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default], [TO VERIFY TIRE ASPECT-Default]]",2023-09-21,-1,4,7,-1,4,19,DurCyc0_5,
