ID_Moteur,Type_Moteur,Spécifications,ID_Usine,Localisation_Usine,Date_Début_Fabrication,Incidents_Fabrication,Durée_Fabrication,Date_Fin_Fabrication,Coût_Fabrication,Contrôles_Qualité_Passés,Mode_Expédition,Délai_Livraison,Coût_Expédition,Demande_Client,Capacité_Production_Usine,Stocks_Disponibles,DLT
1,Électrique,"400 HP, Moyen, 400 kg",4,Usine D,2020-07-08 19:55:58,1,34,2020-08-11 19:55:58,1842.801463227163,1,Aérien,4.049824988733322,497.85,96.46601995897926,100,17,38.04982498873332
2,Électrique,"100 HP, Moyen, 300 kg",1,Usine C,2020-02-28 13:52:05,0,22,2020-03-21 13:52:05,1842.801463227163,1,Maritime,18.899183280755505,414.1,96.46601995897926,400,25,40.89918328075551
3,Diesel,"100 HP, Petit, 400 kg",1,Usine C,2020-11-25 07:57:06,1,19,2020-12-14 07:57:06,1228.5343088181087,0,Maritime,18.899183280755505,213.42,81.23454312335096,400,22,37.89918328075551
4,Diesel,"100 HP, Moyen, 100 kg",2,Usine D,2020-09-06 03:15:59,1,23,2020-09-29 03:15:59,1228.5343088181087,4,Maritime,18.899183280755505,809.18,81.23454312335096,300,42,41.89918328075551
5,Électrique,"300 HP, Petit, 300 kg",2,Usine B,2020-09-12 02:51:39,0,5,2020-09-17 02:51:39,1842.801463227163,3,Terrestre,9.449591640377752,863.09,96.46601995897926,300,28,14.449591640377752
6,Électrique,"200 HP, Moyen, 100 kg",2,Usine C,2020-09-02 10:41:56,0,3,2020-09-05 10:41:56,1842.801463227163,4,Aérien,4.049824988733322,999.08,96.46601995897926,300,46,7.049824988733322
7,Électrique,"200 HP, Moyen, 200 kg",1,Usine C,2020-12-14 18:32:00,0,21,2021-01-04 18:32:00,1842.801463227163,3,Maritime,18.899183280755505,311.61,96.46601995897926,400,37,39.89918328075551
8,Hybride,"100 HP, Petit, 400 kg",1,Usine C,2020-04-06 00:54:03,0,23,2020-04-29 00:54:03,1474.2411705817303,3,Maritime,18.899183280755505,911.97,86.3117020685604,400,17,41.89918328075551
9,Électrique,"200 HP, Grand, 300 kg",4,Usine B,2020-07-08 12:03:09,0,54,2020-08-31 12:03:09,1842.801463227163,3,Maritime,18.899183280755505,518.36,96.46601995897926,100,44,72.89918328075551
10,Hybride,"200 HP, Grand, 300 kg",2,Usine C,2020-01-04 09:33:29,1,25,2020-01-29 09:33:29,1474.2411705817303,4,Terrestre,9.449591640377752,998.71,86.3117020685604,300,22,34.449591640377754
11,Diesel,"100 HP, Moyen, 400 kg",1,Usine C,2020-07-28 08:51:17,1,3,2020-07-31 08:51:17,1228.5343088181087,4,Aérien,4.049824988733322,289.53,81.23454312335096,400,4,7.049824988733322
12,Électrique,"400 HP, Petit, 200 kg",4,Usine B,2020-08-10 17:45:58,1,34,2020-09-13 17:45:58,1842.801463227163,3,Terrestre,9.449591640377752,904.41,96.46601995897926,100,9,43.449591640377754
13,Électrique,"200 HP, Petit, 200 kg",2,Usine B,2020-10-23 05:14:56,0,4,2020-10-27 05:14:56,1842.801463227163,3,Maritime,18.899183280755505,907.64,96.46601995897926,300,20,22.899183280755505
14,Électrique,"200 HP, Moyen, 200 kg",1,Usine C,2020-02-13 23:10:25,1,5,2020-02-18 23:10:25,1842.801463227163,1,Aérien,4.049824988733322,170.19,96.46601995897926,400,6,9.049824988733322
15,Hybride,"300 HP, Moyen, 100 kg",3,Usine B,2020-09-06 17:04:10,0,18,2020-09-24 17:04:10,1474.2411705817303,3,Maritime,18.899183280755505,757.42,86.3117020685604,200,13,36.89918328075551
16,Hybride,"400 HP, Grand, 300 kg",4,Usine D,2020-04-03 01:50:13,0,16,2020-04-19 01:50:13,1474.2411705817303,0,Aérien,4.049824988733322,101.1,86.3117020685604,100,11,20.04982498873332
17,Diesel,"100 HP, Petit, 300 kg",3,Usine B,2020-10-26 23:55:44,3,18,2020-11-13 23:55:44,1228.5343088181087,4,Terrestre,9.449591640377752,661.84,81.23454312335096,200,20,27.449591640377754
18,Diesel,"300 HP, Grand, 100 kg",2,Usine C,2020-03-31 18:25:26,0,24,2020-04-24 18:25:26,1228.5343088181087,4,Maritime,18.899183280755505,855.38,81.23454312335096,300,9,42.89918328075551
19,Diesel,"100 HP, Petit, 300 kg",2,Usine A,2020-11-23 14:12:21,1,30,2020-12-23 14:12:21,1228.5343088181087,4,Aérien,4.049824988733322,282.89,81.23454312335096,300,18,34.04982498873332
20,Diesel,"200 HP, Moyen, 300 kg",1,Usine C,2020-07-07 09:44:49,1,5,2020-07-12 09:44:49,1228.5343088181087,1,Aérien,4.049824988733322,426.96,81.23454312335096,400,38,9.049824988733322
21,Diesel,"100 HP, Moyen, 200 kg",4,Usine B,2020-03-16 17:13:03,2,54,2020-05-09 17:13:03,1228.5343088181087,3,Maritime,18.899183280755505,255.5,81.23454312335096,100,20,72.89918328075551
22,Hybride,"100 HP, Moyen, 100 kg",1,Usine C,2020-06-19 05:44:05,1,15,2020-07-04 05:44:05,1474.2411705817303,0,Aérien,4.049824988733322,797.77,86.3117020685604,400,21,19.04982498873332
23,Diesel,"100 HP, Grand, 200 kg",2,Usine D,2020-06-27 20:43:33,0,4,2020-07-01 20:43:33,1228.5343088181087,4,Terrestre,9.449591640377752,402.06,81.23454312335096,300,42,13.449591640377752
24,Électrique,"400 HP, Grand, 300 kg",1,Usine D,2020-09-13 22:17:57,1,19,2020-10-02 22:17:57,1842.801463227163,3,Maritime,18.899183280755505,267.69,96.46601995897926,400,5,37.89918328075551
25,Hybride,"100 HP, Petit, 300 kg",4,Usine B,2020-12-14 18:02:18,2,60,2021-02-12 18:02:18,1474.2411705817303,4,Aérien,4.049824988733322,753.63,86.3117020685604,100,0,64.04982498873332
26,Hybride,"300 HP, Petit, 200 kg",1,Usine A,2020-07-31 21:33:36,0,6,2020-08-06 21:33:36,1474.2411705817303,2,Maritime,18.899183280755505,568.42,86.3117020685604,400,43,24.899183280755505
27,Diesel,"100 HP, Grand, 400 kg",1,Usine A,2020-08-15 06:19:51,0,18,2020-09-02 06:19:51,1228.5343088181087,3,Terrestre,9.449591640377752,168.29,81.23454312335096,400,15,27.449591640377754
28,Électrique,"400 HP, Petit, 100 kg",1,Usine A,2020-04-26 01:36:34,0,28,2020-05-24 01:36:34,1842.801463227163,1,Aérien,4.049824988733322,946.29,96.46601995897926,400,37,32.04982498873332
29,Diesel,"300 HP, Petit, 400 kg",4,Usine C,2020-05-03 07:59:08,1,48,2020-06-20 07:59:08,1228.5343088181087,4,Terrestre,9.449591640377752,197.03,81.23454312335096,100,19,57.449591640377754
30,Diesel,"100 HP, Moyen, 400 kg",4,Usine C,2020-06-20 13:46:19,3,44,2020-08-03 13:46:19,1228.5343088181087,1,Terrestre,9.449591640377752,400.12,81.23454312335096,100,4,53.449591640377754
31,Hybride,"200 HP, Moyen, 400 kg",4,Usine B,2020-01-02 03:25:17,2,64,2020-03-06 03:25:17,1474.2411705817303,2,Aérien,4.049824988733322,994.02,86.3117020685604,100,41,68.04982498873332
32,Hybride,"300 HP, Grand, 200 kg",1,Usine D,2020-12-04 01:23:02,1,3,2020-12-07 01:23:02,1474.2411705817303,2,Terrestre,9.449591640377752,291.73,86.3117020685604,400,44,12.449591640377752
33,Électrique,"300 HP, Moyen, 400 kg",1,Usine A,2020-08-11 10:18:06,1,31,2020-09-11 10:18:06,1842.801463227163,3,Aérien,4.049824988733322,680.51,96.46601995897926,400,28,35.04982498873332
34,Diesel,"300 HP, Petit, 200 kg",3,Usine C,2020-01-08 00:02:04,2,29,2020-02-06 00:02:04,1228.5343088181087,0,Aérien,4.049824988733322,847.29,81.23454312335096,200,0,33.04982498873332
35,Électrique,"400 HP, Grand, 300 kg",3,Usine B,2020-12-20 10:24:40,2,25,2021-01-14 10:24:40,1842.801463227163,2,Terrestre,9.449591640377752,218.54,96.46601995897926,200,5,34.449591640377754
36,Électrique,"400 HP, Moyen, 100 kg",3,Usine D,2020-11-02 15:21:05,0,26,2020-11-28 15:21:05,1842.801463227163,4,Maritime,18.899183280755505,504.2,96.46601995897926,200,39,44.89918328075551
37,Diesel,"200 HP, Moyen, 300 kg",3,Usine C,2020-04-28 10:58:18,3,33,2020-05-31 10:58:18,1228.5343088181087,1,Terrestre,9.449591640377752,732.02,81.23454312335096,200,0,42.449591640377754
38,Diesel,"400 HP, Grand, 200 kg",1,Usine A,2020-07-01 10:14:39,0,8,2020-07-09 10:14:39,1228.5343088181087,2,Maritime,18.899183280755505,585.04,81.23454312335096,400,22,26.899183280755505
39,Hybride,"300 HP, Moyen, 200 kg",4,Usine A,2020-10-21 15:21:46,0,14,2020-11-04 15:21:46,1474.2411705817303,2,Aérien,4.049824988733322,956.5,86.3117020685604,100,42,18.04982498873332
40,Hybride,"400 HP, Petit, 100 kg",3,Usine B,2020-02-17 15:52:19,3,18,2020-03-06 15:52:19,1474.2411705817303,4,Terrestre,9.449591640377752,654.19,86.3117020685604,200,8,27.449591640377754
41,Électrique,"300 HP, Petit, 100 kg",2,Usine C,2020-04-09 17:30:49,1,23,2020-05-02 17:30:49,1842.801463227163,3,Maritime,18.899183280755505,998.84,96.46601995897926,300,29,41.89918328075551
42,Électrique,"100 HP, Grand, 200 kg",2,Usine B,2020-10-18 05:18:42,0,29,2020-11-16 05:18:42,1842.801463227163,4,Terrestre,9.449591640377752,177.04,96.46601995897926,300,43,38.449591640377754
43,Diesel,"200 HP, Moyen, 300 kg",1,Usine A,2020-02-17 09:20:50,1,4,2020-02-21 09:20:50,1228.5343088181087,2,Maritime,18.899183280755505,959.06,81.23454312335096,400,26,22.899183280755505
44,Hybride,"200 HP, Grand, 100 kg",4,Usine D,2020-03-29 20:59:10,2,14,2020-04-12 20:59:10,1474.2411705817303,1,Terrestre,9.449591640377752,500.23,86.3117020685604,100,25,23.449591640377754
45,Hybride,"200 HP, Grand, 200 kg",3,Usine B,2020-07-22 18:08:34,1,11,2020-08-02 18:08:34,1474.2411705817303,0,Terrestre,9.449591640377752,455.53,86.3117020685604,200,1,20.449591640377754
46,Diesel,"300 HP, Moyen, 100 kg",2,Usine D,2020-12-09 13:46:19,1,29,2021-01-07 13:46:19,1228.5343088181087,2,Maritime,18.899183280755505,526.39,81.23454312335096,300,23,47.89918328075551
47,Électrique,"100 HP, Grand, 200 kg",4,Usine A,2020-05-28 17:55:25,2,20,2020-06-17 17:55:25,1842.801463227163,1,Maritime,18.899183280755505,724.9,96.46601995897926,100,48,38.89918328075551
48,Hybride,"300 HP, Grand, 100 kg",2,Usine B,2020-07-04 23:44:58,1,27,2020-07-31 23:44:58,1474.2411705817303,3,Maritime,18.899183280755505,799.37,86.3117020685604,300,43,45.89918328075551
49,Diesel,"200 HP, Grand, 300 kg",4,Usine B,2020-09-19 16:13:41,0,28,2020-10-17 16:13:41,1228.5343088181087,3,Terrestre,9.449591640377752,346.12,81.23454312335096,100,22,37.449591640377754
50,Hybride,"200 HP, Petit, 100 kg",2,Usine D,2020-09-18 22:50:46,1,5,2020-09-23 22:50:46,1474.2411705817303,1,Maritime,18.899183280755505,418.99,86.3117020685604,300,40,23.899183280755505
51,Électrique,"400 HP, Moyen, 100 kg",4,Usine A,2020-09-22 17:16:57,2,52,2020-11-13 17:16:57,1842.801463227163,2,Maritime,18.899183280755505,773.98,96.46601995897926,100,38,70.89918328075551
